,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
496,dingle,ie,"{'lon': -10.26889, 'lat': 52.140831}",2964782,52.14,-10.27,1522992833,48.61,93,92,10.67,1523016000,50.22,91,56,25.88,1522994400,1523394000,48.4678947368,95.0263157895,63.5789473684,11.0236842105
497,espinosa,br,"{'lon': -42.819172, 'lat': -14.92611}",3463939,-14.93,-42.82,1522992835,66.61,95,48,5.79,1523037600,78.25,82,44,4.21,1522994400,1523394000,71.2165789474,75.9210526316,24.6315789474,7.45578947368
498,batagay-alyta,ru,"{'lon': 130.411392, 'lat': 67.80056}",2027042,67.8,130.41,1522992747,21.7,83,20,4.07,1523080800,26.91,88,0,4,1522994400,1523394000,11.9442105263,79.5789473684,41.5789473684,3.52473684211
499,falealupo,ws,"{'lon': -172.7872919, 'lat': -13.4993052}",0,-13.5,-172.79,1522992836,81.73,100,24,11.16,1523070000,84.61,100,68,14.97,1522994400,1523394000,82.9355263158,99.8421052632,46.1052631579,11.1476315789
500,saint george,bm,"{'lon': -64.676392, 'lat': 32.384171}",3573062,32.38,-64.68,1522990500,62.6,77,90,17.22,1523080800,66.78,100,0,15.59,1522994400,1523394000,66.5342105263,98.8684210526,38.0,17.6389473684
502,egvekinot,ru,"{'lon': -179.166672, 'lat': 66.316673}",4031742,66.32,-179.17,1522992839,0.91,69,0,12.17,1523070000,7.75,79,88,13.33,1522994400,1523394000,4.13684210526,78.0,46.1052631579,5.66368421053
503,nguiu,au,"{'lon': 130.6330634, 'lat': -11.7608881}",0,-11.76,130.63,1522992841,89.65,91,0,6.8,1523080800,91.98,85,0,4.23,1522994400,1523394000,88.2407894737,93.3157894737,2.0,5.80894736842
504,coahuayana,mx,"{'lon': -103.658333, 'lat': 18.700001}",4025994,18.7,-103.66,1522992842,73.36,100,0,1.72,1523037600,78.43,93,0,6.78,1522994400,1523394000,75.1457894737,96.5,8.94736842105,5.17552631579
506,pendleton,us,"{'lon': -118.788597, 'lat': 45.672081}",5745380,45.67,-118.79,1522992300,48.81,93,90,2.84,1523048400,56.69,99,92,4,1522994400,1523394000,48.0442105263,90.1315789474,70.8421052632,7.65052631579
509,wisconsin rapids,us,"{'lon': -89.817352, 'lat': 44.383579}",5279436,44.38,-89.82,1522990860,30.47,80,75,4.7,1522994400,29.71,93,56,13.06,1522994400,1523394000,22.3584210526,80.4210526316,35.6842105263,12.0976315789
510,blythe,us,"{'lon': -114.596352, 'lat': 33.610298}",5329649,33.61,-114.6,1522990320,82.4,20,1,10.29,1523059200,91.46,16,32,6.38,1522994400,1523394000,74.94,29.4210526316,14.6315789474,6.36368421053
511,buritis,br,"{'lon': -46.423328, 'lat': -15.61778}",3468732,-15.62,-46.42,1522992847,68.5,96,76,0.2,1523037600,76.9,88,76,5.28,1522994400,1523394000,71.7281578947,89.6842105263,46.2105263158,5.15078947368
512,bur gabo,so,"{'lon': 18.6405744, 'lat': -33.8872144}",0,-33.89,18.64,1522990800,59,93,75,8.05,1523026800,66.92,62,0,3.24,1522994400,1523394000,62.785,67.8947368421,22.3157894737,4.37052631579
513,progreso,mx,"{'lon': -89.666672, 'lat': 21.283331}",3521108,21.28,-89.67,1522990080,77,69,5,12.75,1523048400,96.02,31,0,5.53,1522994400,1523394000,85.9268421053,47.3421052632,5.47368421053,6.18789473684
515,dali,cn,"{'lon': 100.183327, 'lat': 25.700001}",1814093,25.7,100.18,1522992885,66.16,55,80,2.21,1522994400,67.46,55,80,2.21,1522994400,1523394000,51.3028947368,90.0,50.3157894737,2.12078947368
517,kitsuki,jp,"{'lon': 131.616669, 'lat': 33.416672}",1859234,33.42,131.62,1522990920,56.8,93,75,19.46,1522994400,55.09,99,68,14.81,1522994400,1523394000,51.6060526316,69.8947368421,29.4736842105,11.9755263158
518,raudeberg,no,"{'lon': 5.1351057, 'lat': 61.9829132}",0,61.98,5.14,1522992000,33.35,92,20,4.7,1523016000,36.82,94,88,2.95,1522994400,1523394000,30.5363157895,95.8947368421,38.6315789474,3.66657894737
519,zaraza,ve,"{'lon': -65.324516, 'lat': 9.35029}",3625066,9.35,-65.32,1522992889,74.8,82,8,11.05,1523037600,90.22,50,24,8.75,1522994400,1523394000,81.865,67.7631578947,26.1052631579,9.50210526316
520,isiro,cd,"{'lon': 27.61603, 'lat': 2.77391}",215771,2.77,27.62,1522992900,68.68,98,68,2.89,1523016000,84.6,67,12,3.18,1522994400,1523394000,73.3671052632,87.0263157895,51.4736842105,2.66394736842
521,cabo san lucas,mx,"{'lon': -109.912376, 'lat': 22.890881}",3985710,22.89,-109.91,1522989900,73.4,27,40,6.93,1523059200,72.29,88,0,10.45,1522994400,1523394000,69.2602631579,95.2105263158,0.736842105263,10.8286842105
522,sasaram,in,"{'lon': 84.0314295, 'lat': 24.949036}",0,24.95,84.03,1522992893,89.92,59,0,9.78,1523005200,102.04,45,0,6.62,1522994400,1523394000,85.5763157895,54.8947368421,23.1578947368,7.95
523,meyungs,pw,"{'lon': 134.4488579, 'lat': 7.352715099999999}",0,7.35,134.45,1522990380,86,74,75,14.99,1522994400,85.41,100,44,7.02,1522994400,1523394000,82.6015789474,100.0,57.3684210526,8.40578947368
524,acuexcomac,mx,"{'lon': -98.9166008, 'lat': 19.5669422}",0,19.57,-98.92,1522990260,59,72,75,3.36,1523048400,68.57,78,24,4.79,1522994400,1523394000,56.6578947368,74.1315789474,24.8421052632,4.09078947368
525,stornoway,gb,"{'lon': -6.38649, 'lat': 58.209251}",2636790,58.21,-6.39,1522992000,39.2,86,75,17.22,1523026800,41.68,100,92,14.54,1522994400,1523394000,42.3310526316,93.1578947368,48.3157894737,15.6528947368
526,bolungarvik,is,"{'lon': -23.261709, 'lat': 66.1517719}",0,66.15,-23.26,1522992908,17.29,100,32,5.12,1523016000,30.59,89,64,10.78,1522994400,1523394000,29.7810526316,93.4210526316,45.7894736842,5.44921052632
527,soloneshnoye,ru,"{'lon': 84.319702, 'lat': 51.6544}",1491461,51.65,84.32,1522992900,51.22,65,0,2.84,1523005200,61.47,57,20,1.92,1522994400,1523394000,35.2615789474,79.2894736842,73.4736842105,4.86289473684
528,cockburn town,bs,"{'lon': -74.51667, 'lat': 24.033331}",3572627,24.03,-74.52,1522992901,76.96,93,56,11.68,1523037600,77.17,93,56,8.86,1522994400,1523394000,76.2423684211,97.3684210526,45.3684210526,8.23315789474
529,marcona,pe,"{'lon': -75.0844757, 'lat': -15.3439659}",0,-15.34,-75.08,1522992902,63.28,96,32,8.55,1523037600,67.81,85,8,14.38,1522994400,1523394000,65.0373684211,89.7368421053,32.1052631579,8.71789473684
530,anchorage,us,"{'lon': -149.900284, 'lat': 61.21806}",5879400,61.22,-149.9,1522990560,36.9,51,90,6.93,1523059200,33.68,85,92,3.02,1522994400,1523394000,30.4294736842,84.9736842105,47.7894736842,3.05052631579
532,sorvag,fo,"{'lon': -7.3058656, 'lat': 62.07129279999999}",0,62.07,-7.31,1522992000,32,100,88,4.7,1523080800,39.06,100,0,24.7,1522994400,1523394000,39.9036842105,99.7894736842,40.2105263158,17.2678947368
533,thinadhoo,mv,"{'lon': 72.933327, 'lat': 0.5333300000000001}",1337610,0.53,72.93,1522992906,83.62,100,32,7.09,1523026800,84.94,100,76,6.49,1522994400,1523394000,85.6521052632,100.0,32.3157894737,4.07078947368
534,sinjar,iq,"{'lon': 41.87542, 'lat': 36.320919}",448149,36.32,41.88,1522992907,69.94,18,0,4.29,1523005200,98.65,18,0,4.72,1522994400,1523394000,67.9528947368,42.8421052632,23.8947368421,5.75605263158
535,hobyo,so,"{'lon': 48.526798, 'lat': 5.3505}",57000,5.35,48.53,1522992917,83.26,93,56,2.1,1522994400,87.66,93,56,2.1,1522994400,1523394000,82.72,85.6315789474,44.3157894737,7.51526315789
536,sabha,ly,"{'lon': 14.42832, 'lat': 27.037661}",2212775,27.04,14.43,1522992829,66.97,35,0,14.92,1523026800,89.91,17,8,8.9,1522994400,1523394000,83.2836842105,17.2894736842,40.5263157895,9.46184210526
537,zhangjiakou,cn,"{'lon': 114.87944, 'lat': 40.810001}",2033196,40.81,114.88,1522992910,27.19,92,68,15.08,1523080800,38.61,88,76,6.02,1522994400,1523394000,32.4147368421,82.9473684211,18.4210526316,7.57894736842
